Date,Actual_Food and non-alcoholic beverages,PredictedSent_Food and non-alcoholic beverages,PredictedNoSent_Food and non-alcoholic beverages,Actual_Miscellaneous goods and services,PredictedSent_Miscellaneous goods and services,PredictedNoSent_Miscellaneous goods and services,Actual_Actual rentals for housing,PredictedSent_Actual rentals for housing,PredictedNoSent_Actual rentals for housing,Actual_Maintenance and repair of the dwelling,PredictedSent_Maintenance and repair of the dwelling,PredictedNoSent_Maintenance and repair of the dwelling
2005-12-01,69.12,70.54,68.91,72.32,73.27,71.79,79.14,79.37,78.7,73.11,73.96,73.0
2006-01-01,70.45,70.87,69.57,72.18,73.62,72.2,79.14,79.47,78.82,73.19,74.09,73.19
2006-02-01,70.17,70.92,69.92,72.32,73.82,72.6,79.22,79.52,78.93,73.33,74.13,73.38
2006-03-01,70.24,70.83,69.97,73.02,74.07,72.99,79.22,79.58,79.03,73.4,74.18,73.56
2006-04-01,70.03,70.79,69.93,74.02,74.44,73.43,79.3,79.69,79.16,73.48,74.28,73.74
2006-05-01,69.4,70.84,69.95,75.29,74.88,73.88,79.37,79.81,79.31,73.62,74.41,73.94
2006-06-01,68.77,70.9,70.07,74.51,75.19,74.24,79.37,79.91,79.44,74.56,74.52,74.16
2006-07-01,69.19,71.06,70.32,75.01,75.43,74.5,79.46,80.0,79.55,74.56,74.65,74.35
2006-08-01,71.85,71.32,70.67,75.36,75.69,74.75,79.53,80.09,79.66,74.64,74.75,74.5
2006-09-01,72.55,71.51,70.93,75.29,75.9,74.97,79.61,80.19,79.77,74.71,74.8,74.61
2006-10-01,71.01,71.52,70.96,75.15,76.08,75.14,79.85,80.27,79.86,74.78,74.82,74.68
2006-11-01,69.12,71.46,70.86,75.5,76.29,75.32,80.01,80.36,79.96,74.78,74.84,74.73
2006-12-01,70.17,71.52,70.92,75.64,76.53,75.58,80.17,80.45,80.07,74.85,74.92,74.81
2007-01-01,70.52,71.65,71.09,75.64,76.77,75.85,80.33,80.54,80.16,74.93,74.99,74.88
2007-02-01,72.13,71.84,71.28,76.49,77.06,76.15,80.48,80.63,80.25,75.0,75.07,74.93
2007-03-01,71.5,72.0,71.42,77.69,77.36,76.44,80.56,80.72,80.34,75.07,75.15,74.98
2007-04-01,71.71,72.08,71.48,77.84,77.7,76.77,80.72,80.83,80.44,75.07,75.25,75.06
2007-05-01,71.22,72.1,71.46,77.84,77.96,77.02,80.8,80.92,80.53,75.14,75.31,75.09
2007-06-01,70.8,72.22,71.49,77.91,78.28,77.29,80.88,81.04,80.63,75.14,75.41,75.14
2007-07-01,71.71,72.46,71.65,77.98,78.66,77.62,80.96,81.18,80.74,75.14,75.51,75.21
2007-08-01,71.85,72.72,71.85,78.4,79.06,77.96,81.12,81.31,80.85,75.22,75.61,75.27
2007-09-01,73.95,72.97,72.01,78.76,79.51,78.35,81.2,81.45,80.96,75.29,75.74,75.35
2007-10-01,74.08,73.21,72.17,79.11,80.02,78.78,81.28,81.61,81.08,75.29,75.91,75.45
2007-11-01,72.13,73.43,72.31,79.75,80.61,79.31,81.51,81.78,81.23,75.29,76.13,75.6
2007-12-01,72.48,73.67,72.48,79.96,81.2,79.88,81.67,81.96,81.39,75.29,76.37,75.79
2008-01-01,72.69,74.03,72.78,81.8,81.88,80.56,81.83,82.16,81.57,75.29,76.66,76.04
2008-02-01,73.32,74.47,73.16,82.58,82.64,81.31,81.99,82.37,81.76,75.36,77.02,76.36
2008-03-01,73.18,74.9,73.51,84.28,83.34,81.99,82.15,82.56,81.94,75.51,77.38,76.7
2008-04-01,74.29,75.35,73.86,84.63,84.03,82.65,82.38,82.76,82.13,78.05,77.82,77.13
2008-05-01,74.57,75.83,74.26,84.77,84.65,83.28,82.54,82.95,82.32,78.55,78.33,77.65
2008-06-01,74.43,76.39,74.76,85.05,85.26,83.94,82.78,83.15,82.52,79.13,78.89,78.23
2008-07-01,75.83,77.0,75.35,86.05,85.85,84.61,82.94,83.34,82.72,79.71,79.45,78.82
2008-08-01,77.16,77.68,76.05,84.77,86.44,85.3,83.1,83.52,82.91,80.15,80.0,79.42
2008-09-01,77.93,78.33,76.75,86.19,87.05,85.98,83.18,83.68,83.08,81.24,80.54,80.0
2008-10-01,77.3,78.94,77.42,86.68,87.74,86.69,83.42,83.83,83.22,82.03,81.06,80.53
2008-11-01,77.44,79.6,78.15,86.75,88.45,87.42,83.57,83.97,83.35,82.03,81.56,81.04
2008-12-01,78.7,80.33,78.91,88.38,89.14,88.11,83.65,84.08,83.46,82.18,81.97,81.43
2009-01-01,80.38,81.08,79.67,88.31,89.82,88.75,83.73,84.16,83.54,82.25,82.24,81.69
2009-02-01,80.65,81.65,80.26,90.93,90.38,89.31,83.73,84.23,83.62,82.47,82.35,81.83
2009-03-01,81.98,82.01,80.63,92.06,90.84,89.77,83.73,84.28,83.68,82.54,82.41,81.87
2009-04-01,83.31,82.29,80.89,90.43,91.18,90.14,83.81,84.33,83.74,82.47,82.42,81.83
2009-05-01,82.75,82.46,81.03,90.5,91.38,90.37,83.97,84.39,83.8,82.32,82.42,81.8
2009-06-01,80.44,82.48,81.03,90.93,91.55,90.55,83.97,84.45,83.87,82.4,82.38,81.72
2009-07-01,81.07,82.48,81.0,90.86,91.7,90.68,84.05,84.52,83.94,82.11,82.31,81.64
2009-08-01,81.7,82.58,81.06,90.72,91.85,90.82,84.21,84.61,84.02,81.96,82.22,81.55
2009-09-01,81.49,82.78,81.21,91.21,92.05,91.03,84.29,84.73,84.12,81.89,82.17,81.53
2009-10-01,81.0,83.0,81.4,91.28,92.29,91.27,84.37,84.85,84.22,81.89,82.17,81.55
2009-11-01,79.75,83.28,81.7,92.13,92.62,91.58,84.52,84.98,84.33,81.89,82.23,81.63
2009-12-01,81.0,83.71,82.14,92.55,92.98,91.95,84.68,85.13,84.46,81.89,82.33,81.74
2010-01-01,82.96,84.33,82.76,93.24,93.38,92.36,84.81,85.28,84.59,82.66,82.48,81.9
2010-02-01,83.91,85.03,83.45,93.43,93.77,92.76,84.98,85.44,84.72,82.66,82.64,82.08
2010-03-01,84.52,85.63,84.02,93.62,94.05,93.05,85.07,85.58,84.85,82.66,82.78,82.23
2010-04-01,85.82,86.25,84.61,93.43,94.32,93.36,85.24,85.75,85.0,82.74,82.94,82.4
2010-05-01,85.38,86.82,85.2,93.81,94.6,93.68,85.41,85.94,85.17,82.91,83.1,82.57
2010-06-01,84.26,87.38,85.81,93.99,94.88,94.01,85.58,86.13,85.36,83.07,83.28,82.77
2010-07-01,84.69,87.94,86.45,94.37,95.13,94.33,85.75,86.32,85.55,83.16,83.47,82.97
2010-08-01,86.85,88.61,87.18,94.47,95.37,94.66,85.84,86.51,85.77,83.24,83.66,83.2
2010-09-01,91.27,89.34,88.0,94.94,95.61,95.02,86.01,86.71,86.01,83.24,83.86,83.45
2010-10-01,91.44,89.97,88.75,94.75,95.85,95.36,86.18,86.93,86.28,83.41,84.1,83.74
2010-11-01,88.5,90.41,89.32,95.03,96.11,95.67,86.44,87.19,86.57,83.57,84.39,84.07
2010-12-01,88.5,90.78,89.78,95.22,96.35,95.95,86.69,87.44,86.85,83.66,84.69,84.41
2011-01-01,91.44,91.35,90.41,95.69,96.58,96.22,86.95,87.7,87.16,84.07,85.02,84.79
2011-02-01,93.26,92.1,91.18,96.07,96.8,96.47,87.21,88.0,87.49,84.32,85.38,85.19
2011-03-01,93.0,92.67,91.8,97.1,96.98,96.68,87.72,88.3,87.82,84.9,85.74,85.59
2011-04-01,92.22,93.06,92.3,96.82,97.17,96.9,88.15,88.64,88.19,86.15,86.2,86.07
2011-05-01,91.27,93.33,92.67,97.48,97.34,97.09,88.58,88.97,88.54,87.06,86.66,86.57
2011-06-01,91.96,93.72,93.14,97.48,97.53,97.28,89.01,89.31,88.93,87.89,87.16,87.11
2011-07-01,93.69,94.32,93.77,97.48,97.67,97.39,89.26,89.64,89.31,88.22,87.63,87.63
2011-08-01,96.54,95.01,94.49,97.57,97.71,97.39,89.61,90.0,89.7,88.31,88.07,88.12
2011-09-01,96.28,95.49,95.01,97.67,97.61,97.25,89.95,90.32,90.06,88.64,88.45,88.53
2011-10-01,94.03,95.64,95.23,97.57,97.43,97.03,90.38,90.64,90.39,88.81,88.78,88.86
2011-11-01,93.77,95.74,95.42,97.76,97.16,96.72,90.81,90.97,90.75,89.06,89.13,89.21
2011-12-01,95.16,96.03,95.78,98.14,96.86,96.37,91.06,91.29,91.1,89.22,89.47,89.56
2012-01-01,96.87,96.46,96.25,95.92,96.45,95.92,91.35,91.59,91.44,89.64,89.79,89.89
2012-02-01,96.53,96.78,96.61,96.39,95.97,95.4,91.59,91.89,91.76,89.82,90.12,90.21
2012-03-01,97.49,96.88,96.76,93.03,95.49,94.9,92.01,92.16,92.04,90.28,90.43,90.51
2012-04-01,97.11,96.89,96.85,93.44,95.0,94.39,92.36,92.45,92.32,90.58,90.78,90.85
2012-05-01,96.95,96.91,96.92,93.49,94.67,94.04,92.65,92.72,92.6,91.27,91.13,91.2
2012-06-01,96.41,97.05,97.06,93.51,94.43,93.77,92.86,92.98,92.86,91.52,91.48,91.57
2012-07-01,95.76,97.28,97.28,92.33,94.25,93.59,93.02,93.22,93.1,91.74,91.81,91.9
2012-08-01,96.96,97.56,97.51,92.93,94.16,93.52,93.2,93.46,93.34,91.87,92.13,92.22
2012-09-01,100.5,97.81,97.72,94.36,94.22,93.59,93.36,93.69,93.57,92.11,92.44,92.53
2012-10-01,98.89,97.95,97.84,94.49,94.33,93.72,93.56,93.89,93.78,93.18,92.74,92.84
2012-11-01,96.46,97.95,97.81,94.19,94.46,93.84,93.8,94.1,93.98,93.37,93.05,93.16
2012-12-01,97.16,97.97,97.78,94.62,94.57,93.95,94.0,94.3,94.17,93.38,93.32,93.42
2013-01-01,99.15,98.12,97.89,94.58,94.69,94.08,94.2,94.51,94.36,93.59,93.56,93.65
2013-02-01,99.67,98.27,98.05,94.8,94.78,94.19,94.36,94.7,94.54,93.67,93.78,93.86
2013-03-01,98.71,98.31,98.11,93.48,94.81,94.25,94.61,94.88,94.71,93.81,93.98,94.05
2013-04-01,98.81,98.24,98.06,93.19,94.83,94.29,94.84,95.08,94.89,94.12,94.21,94.26
2013-05-01,97.79,98.12,97.97,94.48,94.93,94.37,95.05,95.27,95.06,94.35,94.43,94.45
2013-06-01,96.67,98.02,97.87,94.77,95.09,94.52,95.23,95.46,95.23,94.45,94.64,94.65
2013-07-01,97.37,98.04,97.87,94.75,95.25,94.66,95.37,95.64,95.4,94.45,94.84,94.83
2013-08-01,99.65,98.18,98.03,90.98,95.35,94.78,95.57,95.82,95.57,94.63,95.04,95.02
2013-09-01,99.67,98.23,98.1,95.23,95.51,94.91,95.75,96.0,95.74,94.87,95.25,95.21
2013-10-01,97.44,98.09,97.96,95.75,95.77,95.16,95.94,96.18,95.91,95.34,95.45,95.39
2013-11-01,95.9,97.93,97.78,95.93,96.06,95.44,96.14,96.37,96.1,95.56,95.66,95.6
2013-12-01,96.25,97.94,97.77,96.0,96.32,95.69,96.34,96.56,96.28,95.65,95.84,95.78
2014-01-01,97.35,98.1,97.89,95.61,96.58,95.94,96.49,96.75,96.47,95.86,96.03,95.97
2014-02-01,98.34,98.26,98.02,96.31,96.84,96.18,96.69,96.94,96.65,96.03,96.23,96.14
2014-03-01,98.6,98.37,98.09,97.18,97.1,96.41,96.93,97.12,96.82,96.13,96.42,96.31
2014-04-01,98.51,98.44,98.1,97.24,97.39,96.68,97.21,97.31,97.0,96.37,96.64,96.51
2014-05-01,98.52,98.48,98.1,97.68,97.67,96.92,97.35,97.5,97.18,96.74,96.85,96.72
2014-06-01,98.09,98.58,98.17,97.81,97.93,97.16,97.48,97.68,97.36,96.81,97.05,96.91
2014-07-01,98.4,98.77,98.34,97.81,98.14,97.37,97.6,97.86,97.52,97.02,97.22,97.1
2014-08-01,99.2,99.03,98.58,97.9,98.35,97.6,97.72,98.03,97.69,97.11,97.44,97.31
2014-09-01,99.86,99.24,98.77,97.9,98.58,97.83,97.9,98.21,97.85,97.4,97.68,97.53
2014-10-01,97.91,99.33,98.83,97.91,98.77,98.03,98.06,98.38,98.01,97.52,97.92,97.73
2014-11-01,97.58,99.4,98.85,97.56,98.96,98.22,98.29,98.57,98.18,97.72,98.16,97.94
2014-12-01,98.16,99.54,98.96,97.98,99.15,98.4,98.5,98.75,98.35,97.94,98.37,98.14
2015-01-01,99.72,99.8,99.17,99.69,99.43,98.65,99.1,98.94,98.54,98.21,98.6,98.35
2015-02-01,100.39,100.08,99.42,99.83,99.75,98.96,99.21,99.15,98.74,98.45,98.82,98.57
2015-03-01,99.44,100.26,99.57,100.27,100.02,99.23,99.37,99.33,98.92,99.11,99.03,98.77
2015-04-01,99.34,100.39,99.66,99.88,100.28,99.52,99.57,99.53,99.11,99.75,99.28,99.02
2015-05-01,100.79,100.54,99.81,100.08,100.5,99.77,99.76,99.72,99.3,100.06,99.53,99.26
2015-06-01,100.49,100.73,100.02,99.83,100.7,100.03,99.94,99.91,99.5,100.22,99.78,99.52
2015-07-01,100.23,100.91,100.23,99.75,100.89,100.25,100.11,100.11,99.69,100.35,100.04,99.78
2015-08-01,100.89,101.1,100.45,100.24,101.11,100.49,100.28,100.31,99.9,100.45,100.31,100.04
2015-09-01,100.69,101.23,100.64,99.81,101.36,100.75,100.42,100.51,100.1,100.53,100.56,100.31
2015-10-01,99.69,101.34,100.79,99.99,101.63,100.99,100.56,100.71,100.3,100.72,100.81,100.57
2015-11-01,98.37,101.49,100.94,100.38,101.91,101.23,100.73,100.91,100.49,101.0,101.04,100.84
2015-12-01,99.95,101.71,101.17,100.25,102.19,101.46,100.94,101.09,100.67,101.17,101.26,101.11
